radiant_win,npc_dota_hero_pudge,npc_dota_hero_phantom_assassin,npc_dota_hero_legion_commander,npc_dota_hero_sniper,npc_dota_hero_slark,npc_dota_hero_juggernaut,npc_dota_hero_invoker,npc_dota_hero_axe,npc_dota_hero_riki,npc_dota_hero_mirana,Duration,AboveAverGoldSpent,AboveAverLevel,AboveAverKills,AboveAverDeaths,AboveAverLast_hits,AboveAverHero_damage,AboveAverTower_damage
False,0,0,1,0,0,0,0,0,0,0,2388,2,2,2,3,2,2,2
False,1,0,0,0,0,0,0,0,0,0,3688,2,2,1,2,2,2,2
False,0,1,0,0,0,0,0,0,0,0,2776,3,2,1,3,2,1,3
False,1,0,0,1,0,0,1,0,0,0,2740,3,3,3,2,3,2,2
True,1,1,0,0,0,0,0,1,0,0,2140,3,4,1,2,3,2,3
False,0,1,0,0,0,0,0,0,0,0,2662,3,3,2,4,3,2,2
True,0,0,0,1,0,0,0,0,0,0,2360,3,3,3,2,3,3,3
True,0,0,0,0,0,0,0,0,1,0,4172,2,3,3,3,2,2,2
True,0,1,0,0,0,0,0,0,0,0,3302,1,2,2,3,2,1,1
True,0,0,0,0,0,0,0,0,0,0,2391,3,3,2,2,2,2,2
False,0,1,0,0,0,0,0,0,0,0,1693,2,3,1,3,3,2,1
False,0,0,1,0,0,0,0,0,0,0,2027,1,3,3,2,3,3,1
False,0,0,0,0,0,0,1,0,1,0,1181,2,3,2,3,3,2,5
False,0,0,0,0,1,0,1,0,0,0,1769,2,3,3,2,3,2,2
False,0,0,0,0,0,0,0,0,0,0,2044,3,3,1,2,3,2,2
True,0,0,0,0,0,0,0,0,0,0,1940,3,2,1,3,2,2,3
False,0,0,0,0,0,1,0,0,1,0,3212,3,2,2,2,3,2,2
True,1,0,0,0,0,0,0,0,0,0,2258,2,3,2,2,3,2,1
True,1,0,0,0,0,0,0,0,0,0,3577,2,3,2,3,2,2,3
False,0,1,0,0,1,0,0,0,0,1,2147,2,3,1,2,3,2,1
True,0,1,1,0,0,0,0,0,0,0,1386,2,2,2,2,3,2,2
False,0,0,0,0,0,0,0,0,0,0,2868,3,3,3,2,2,3,2
True,0,0,0,1,0,0,0,0,0,1,1918,2,2,2,2,2,2,1
False,0,0,0,1,0,0,0,0,0,0,3508,2,3,1,3,2,3,2
True,0,0,1,0,0,0,0,0,0,0,2828,3,4,1,2,3,2,2
False,0,0,0,0,1,0,0,0,0,0,2206,2,2,2,3,2,2,1
True,0,1,0,0,0,0,1,1,0,0,2117,3,3,2,3,3,3,2
False,1,1,0,0,0,0,0,0,0,0,4082,3,4,2,2,2,3,2
True,0,0,0,0,0,0,0,0,0,0,1851,2,2,2,3,2,1,2
False,0,0,0,1,1,0,0,0,1,0,2478,3,2,2,2,2,3,3
False,1,0,1,0,0,0,1,0,0,0,2774,3,4,2,3,2,2,2
True,1,0,0,1,0,0,0,0,0,0,2833,3,4,2,2,1,1,2
True,0,0,0,0,0,1,0,0,0,0,3767,3,4,2,3,3,2,1
False,0,0,0,1,0,0,0,0,0,0,2507,2,3,2,3,1,1,2
True,0,0,0,0,0,0,0,0,0,0,1991,3,3,3,4,3,2,3
True,0,1,0,0,0,0,0,0,0,0,3050,3,3,2,2,2,2,3
False,1,0,0,0,0,0,0,0,0,0,1857,1,3,4,2,3,3,1
False,0,0,0,0,0,0,0,1,1,0,3745,3,2,2,3,3,1,1
True,0,0,0,0,0,0,0,0,0,0,2211,1,3,3,3,2,3,3
True,0,0,0,0,0,0,1,0,0,0,3532,3,3,2,3,2,3,1
True,0,1,1,0,0,0,0,0,0,0,2318,2,2,2,2,2,2,2
True,0,0,0,0,0,0,1,0,0,0,2570,2,2,2,3,2,2,2
