radiant_win,npc_dota_hero_pudge,npc_dota_hero_phantom_assassin,npc_dota_hero_legion_commander,npc_dota_hero_sniper,npc_dota_hero_slark,npc_dota_hero_juggernaut,npc_dota_hero_invoker,npc_dota_hero_axe,npc_dota_hero_riki,npc_dota_hero_mirana,Duration,AboveAverGoldSpent,AboveAverLevel,AboveAverKills,AboveAverDeaths,AboveAverLast_hits,AboveAverHero_damage,AboveAverTower_damage
False,0,0,0,1,0,0,0,0,0,0,2166,3,3,2,3,2,1,1
False,0,0,0,0,0,0,0,0,0,0,1615,1,1,2,3,1,2,2
False,0,0,0,0,0,0,0,0,0,0,1888,3,3,2,3,3,1,1
False,0,0,0,0,1,0,0,0,0,0,2632,2,3,2,3,3,2,2
False,0,1,0,0,0,0,0,0,0,0,2893,2,2,2,3,3,1,2
True,0,0,0,0,0,0,0,0,0,0,3454,3,4,3,1,2,3,3
True,0,0,1,1,0,0,1,0,0,1,1887,1,2,2,3,1,2,1
True,0,0,0,1,0,0,0,0,1,0,2648,2,3,2,2,2,2,3
True,0,0,0,0,1,0,0,0,0,0,3526,2,4,3,1,2,3,3
False,0,0,1,0,0,0,0,1,0,0,2133,2,2,2,3,2,2,1
True,1,0,0,0,0,0,0,0,0,0,2864,3,3,2,2,2,3,3
True,1,0,0,0,0,0,0,0,0,0,3241,2,3,3,2,2,2,2
False,0,0,0,0,0,1,0,0,0,0,2699,3,4,2,3,3,3,3
False,1,0,0,0,1,0,0,0,0,0,2437,3,3,2,2,3,3,2
False,0,0,0,0,0,0,0,0,0,0,3120,1,2,2,2,2,2,2
False,0,0,0,1,0,0,0,0,0,0,2843,2,3,3,2,3,2,2
True,0,1,0,0,0,0,0,0,0,1,2354,1,2,3,3,1,2,1
True,0,0,0,0,0,0,0,0,0,1,3766,3,5,2,2,2,3,1
True,0,0,0,0,0,1,0,0,0,0,3688,3,4,3,3,2,2,3
True,0,0,1,0,0,1,0,0,1,0,2894,1,4,2,2,3,3,2
False,0,1,0,1,0,0,0,0,0,0,2000,2,2,2,4,3,2,2
True,0,0,0,0,0,0,0,1,1,0,3004,3,4,4,2,3,2,1
True,0,0,1,0,0,0,0,0,0,0,1978,2,4,2,1,4,2,2
True,0,0,0,0,0,0,0,0,0,0,2530,2,1,2,3,3,2,1
True,1,0,0,0,0,1,0,0,0,0,3016,3,3,3,3,2,3,2
True,0,0,0,0,0,0,0,0,0,1,2389,1,4,1,2,2,1,2
False,0,0,0,1,0,1,0,0,0,0,2636,2,3,1,2,2,1,1
False,0,0,0,0,0,0,1,0,0,0,2651,3,3,1,1,3,2,1
False,1,1,0,0,0,1,0,0,0,0,3256,3,3,2,3,2,2,2
False,0,0,0,0,0,0,0,1,0,0,2392,2,2,2,3,2,2,1
True,0,0,0,1,0,0,0,0,0,0,2719,2,2,2,3,2,2,2
False,0,0,0,0,0,0,0,0,0,0,1882,2,3,1,2,2,3,1
True,0,0,1,0,0,0,0,1,0,0,2081,2,3,3,2,2,3,2
True,1,0,0,0,0,0,0,0,0,0,2937,2,2,2,2,1,1,1
True,0,0,1,0,0,0,0,0,0,0,2327,2,2,1,4,2,2,2
False,1,0,0,0,0,1,0,0,0,0,2374,3,2,3,3,2,2,2
True,1,0,0,0,0,0,0,1,0,0,1760,2,2,2,2,2,3,2
True,0,1,1,0,0,0,0,0,0,0,2563,3,3,3,3,3,3,2
True,1,0,0,0,0,0,1,0,0,0,2023,3,3,1,3,3,2,1
True,0,0,0,0,0,0,0,0,0,0,523,3,1,3,4,2,3,3
True,0,0,0,0,0,0,0,0,1,0,2278,3,3,3,3,2,3,2
True,0,0,0,0,0,0,0,0,0,0,1962,3,2,3,3,2,3,2
True,0,0,0,0,0,0,0,0,0,0,2238,2,2,2,2,2,2,1
True,0,0,0,0,0,1,0,0,0,0,2035,1,1,3,3,2,3,2
True,0,0,0,0,0,0,0,0,0,1,2622,2,3,2,2,3,2,1
True,0,0,1,0,0,0,1,0,0,0,2390,2,3,3,4,2,2,1
False,0,0,0,0,0,1,0,0,0,0,3214,2,3,2,3,3,2,2
False,1,0,0,0,1,0,0,0,0,0,3608,4,4,3,3,3,3,1
False,0,0,0,0,0,0,0,0,0,0,2105,3,3,3,2,1,2,2
True,0,0,0,1,0,0,0,0,0,0,2433,1,2,3,1,3,3,3
True,1,0,0,0,0,1,0,0,0,0,2249,2,2,3,4,2,3,1
True,0,0,0,0,0,0,0,0,0,0,2991,2,2,3,3,2,2,2
True,1,1,0,0,1,0,0,0,0,0,1903,3,3,2,3,2,2,2
True,0,1,0,0,0,0,0,0,1,0,1973,2,2,2,3,2,2,2
True,0,1,0,0,0,0,0,0,0,0,3298,3,3,1,2,3,2,3
True,0,1,0,0,0,1,0,0,0,0,2175,2,2,3,2,2,3,2
False,0,0,0,0,0,0,0,0,0,0,2020,1,2,2,2,2,3,1
False,1,0,0,0,0,0,0,0,0,0,3905,2,4,2,3,3,2,2
False,0,0,0,0,0,0,0,0,0,0,2509,1,2,1,3,2,1,2
False,0,0,0,0,0,0,0,0,0,0,3268,2,3,2,3,3,3,2
True,0,1,0,0,0,0,1,1,0,0,2517,2,2,2,2,1,2,2
True,0,0,0,1,1,0,0,0,0,0,2681,2,4,3,3,2,2,2
True,0,0,0,0,0,0,0,0,0,0,2162,3,3,2,2,2,1,3
True,0,0,0,0,0,0,0,0,0,0,2804,3,2,2,2,3,2,2
True,0,0,0,0,0,0,0,0,0,0,2829,3,4,3,3,3,3,2
False,0,1,0,0,0,0,0,0,0,0,3025,2,3,3,2,2,3,1
False,0,0,0,0,0,0,0,0,0,0,2450,2,2,2,3,3,1,3
True,0,0,0,0,0,0,0,0,0,0,1703,2,3,2,2,3,2,3
False,1,1,0,1,0,0,0,0,0,0,2550,3,2,3,3,3,3,2
False,1,0,0,0,0,0,0,0,0,0,1592,1,1,1,2,2,1,1
False,1,1,0,1,0,0,0,0,0,0,2698,3,3,2,3,2,2,1
False,0,0,0,1,0,1,1,0,1,0,2502,2,2,2,2,2,2,3
True,0,0,0,0,0,0,0,0,0,0,2417,1,2,3,2,2,2,2
False,0,0,1,0,1,0,0,0,0,0,2909,3,3,2,3,2,2,1
True,1,0,0,0,0,0,0,0,0,0,2380,3,3,2,2,3,3,2
True,0,0,0,0,0,0,1,0,0,0,2862,3,3,2,2,3,2,2
False,0,1,0,1,1,0,0,0,0,0,2725,3,3,3,3,1,2,2
False,1,0,0,0,0,0,0,0,0,0,2869,1,1,2,3,2,3,1
False,0,1,0,0,0,0,0,0,0,0,2848,3,3,2,3,2,2,3
