radiant_win,npc_dota_hero_pudge,npc_dota_hero_phantom_assassin,npc_dota_hero_legion_commander,npc_dota_hero_sniper,npc_dota_hero_slark,npc_dota_hero_juggernaut,npc_dota_hero_invoker,npc_dota_hero_axe,npc_dota_hero_riki,npc_dota_hero_mirana,Duration,AboveAverGoldSpent,AboveAverLevel,AboveAverKills,AboveAverDeaths,AboveAverLast_hits,AboveAverHero_damage,AboveAverTower_damage,Highest1AverageItemCost,Highest2AverageItemCost,Highest3AverageItemCost,Highest4AverageItemCost,Highest5AverageItemCost,AboveAverItemCost
False,1,0,0,0,0,0,0,0,0,0,2472,3,4,2,2,3,4,3,3200.0,3018.75,2706.25,1677.0,921.0,3
False,0,0,0,1,0,1,0,0,0,0,2631,3,2,3,3,3,2,1,3412.5,2668.0,2522.5,2335.0,743.0,3
False,0,0,0,0,1,0,0,1,0,0,2597,3,3,2,2,3,3,2,2965.0,1816.0,1507.0,935.0,703.0,2
True,0,0,0,0,0,0,0,0,1,0,2142,3,2,1,3,1,2,1,3720.0,2460.0,2374.0,1295.0,1178.0,3
False,0,0,1,0,0,0,0,1,0,0,3007,3,3,3,1,2,3,2,4242.5,3107.0,2802.0,2620.0,1756.0,2
True,0,1,0,0,0,0,0,0,0,0,2904,2,2,2,2,3,2,1,3475.0,2512.5,2094.0,1860.0,1645.0,2
False,0,0,0,0,0,0,0,1,0,0,2692,3,3,3,3,3,3,2,3201.0,2050.0,2000.0,1778.0,937.5,3
True,1,0,0,0,0,0,0,0,0,0,2972,2,4,2,3,2,2,1,3470.0,3435.0,2783.0,2364.0,1707.0,3
False,0,0,0,0,0,0,0,0,0,0,3228,3,3,2,1,3,2,1,3566.0,3100.0,2794.0,2388.0,1983.0,3
False,0,0,0,0,0,0,0,0,0,1,2939,3,3,2,3,3,3,3,3600.0,3347.5,2310.0,1984.0,891.25,2
True,0,1,0,0,0,0,1,0,0,0,2152,2,2,2,3,2,2,2,2931.25,1940.0,1760.0,1523.0,1488.75,2
True,1,0,0,1,0,0,0,0,1,1,1889,2,1,2,3,3,2,3,2750.0,2590.0,2475.0,1520.0,1323.0,3
False,1,1,0,0,0,0,1,0,0,0,4404,3,3,2,2,3,2,2,4955.0,4264.0,4213.0,2474.0,1885.0,3
True,1,0,0,0,1,0,0,0,0,0,2134,3,4,2,3,2,2,2,3420.0,2872.0,2738.0,2734.0,1610.0,4
False,1,0,0,0,0,1,0,0,0,0,3215,2,2,2,2,2,2,2,4519.0,3450.0,2373.0,2065.0,1685.0,2
True,0,1,0,0,0,0,0,0,0,0,2681,2,2,1,3,2,2,2,4554.0,2755.0,2433.0,2288.0,2119.0,1
True,0,0,0,0,0,0,0,0,0,0,4108,4,4,2,2,3,2,2,4775.0,4314.0,3985.0,3824.0,1991.6666666666667,4
True,0,0,0,1,0,0,0,0,0,0,2969,2,2,2,2,2,2,2,4690.0,3923.0,2028.75,1689.0,541.6666666666666,2
True,0,0,0,0,0,0,0,0,0,0,3382,2,2,1,3,2,2,2,4935.0,4022.0,2985.0,2228.75,1865.0,2
False,0,1,0,0,1,0,0,0,0,0,2456,3,2,2,2,2,3,2,3283.3333333333335,1894.0,1718.0,1383.75,980.0,2
False,0,0,0,1,0,1,0,0,0,0,3084,3,4,2,3,2,3,1,3743.0,3073.3333333333335,2869.0,2088.0,0,3
True,0,1,0,0,0,0,0,0,0,0,2766,3,2,2,3,2,2,2,3945.0,3369.0,2596.0,2051.0,1621.0,2
False,0,0,0,0,0,1,1,0,0,0,3104,3,3,2,2,3,3,3,3850.0,3648.0,3457.0,2152.5,1506.0,3
False,0,0,0,0,1,0,1,0,0,0,4275,2,4,3,2,2,3,1,4893.75,4562.5,3090.0,2572.0,1550.0,2
True,0,0,0,0,0,0,0,0,0,0,2612,3,2,2,2,3,2,1,3290.0,2610.0,2204.0,2168.0,1960.0,2
True,0,0,0,0,0,0,0,0,0,1,2185,3,2,2,2,3,2,2,3302.5,3280.0,1677.0,1573.0,1360.0,2
False,0,1,0,0,0,0,0,0,0,0,2628,2,3,3,4,2,2,1,4740.0,2485.0,2009.0,1763.3333333333333,0,2
False,0,1,0,0,0,0,0,0,0,0,2758,2,2,3,3,2,2,2,3355.0,3262.0,2877.0,2710.0,2025.0,3
True,0,1,0,0,0,1,1,0,0,0,3752,2,4,1,2,3,2,3,4486.0,3785.0,3565.0,3020.0,2050.0,3
True,0,0,0,1,0,0,0,0,0,0,3997,3,4,2,3,3,2,2,3799.0,3747.5,3670.0,3305.0,1239.0,4
False,0,0,0,0,0,0,0,0,1,0,1898,3,4,3,3,2,2,5,2890.0,1913.75,1301.0,1263.0,438.0,2
True,0,0,0,0,0,0,0,0,0,0,2643,2,2,2,2,2,2,3,5120.0,4820.0,2495.0,1488.75,1332.0,2
True,0,1,0,0,0,0,0,1,0,0,1863,2,3,2,3,2,3,2,2441.6666666666665,2250.0,2131.25,2060.0,737.5,4
True,0,0,0,0,0,0,0,0,0,0,2042,2,2,3,3,2,1,2,2979.0,2467.0,2177.0,1497.5,1010.0,3
False,0,0,0,1,0,0,0,0,0,0,4039,2,4,3,2,2,2,2,4360.0,2982.0,2588.0,1935.0,1455.0,2
False,0,0,0,0,0,0,0,0,0,0,2039,2,2,2,3,3,3,1,2158.75,1280.0,1271.0,1176.25,831.25,1
False,0,0,0,0,0,0,0,0,1,0,2663,1,1,1,2,3,2,2,3235.0,2775.0,2197.5,1658.3333333333333,1478.0,2
True,0,0,0,0,1,0,0,0,0,0,2591,2,3,2,2,2,2,2,3977.5,2975.0,2817.0,2083.0,1843.0,3
False,0,0,0,0,0,1,0,0,0,0,2270,3,3,2,3,3,3,1,2254.0,1653.0,1395.0,1275.0,797.5,2
False,1,0,0,0,0,0,0,0,0,0,2151,2,3,2,3,3,2,3,2855.0,1970.0,1717.5,1380.0,1106.25,2
False,0,0,1,0,0,0,0,0,0,0,2571,1,3,2,3,4,2,2,2550.0,2366.6666666666665,1519.0,1340.0,905.0,2
False,0,1,1,0,0,0,0,0,0,0,1620,3,3,2,3,3,3,1,1676.6666666666667,1245.0,1018.0,820.0,138.0,3
True,1,1,0,0,0,0,0,1,0,0,2583,2,2,2,4,2,3,2,3543.0,2895.0,2120.0,1566.25,1188.0,2
True,0,0,1,0,0,0,0,1,0,0,3405,3,4,3,3,3,2,3,4370.0,3669.0,3485.0,2250.0,1621.25,3
False,0,0,0,0,0,0,0,0,0,0,2120,2,2,2,2,1,2,1,2897.0,2714.0,1790.0,1730.0,1283.0,2
False,1,0,0,0,0,0,0,0,0,0,2607,3,3,4,2,2,2,1,5275.0,2750.0,2502.0,2273.0,1940.0,1
False,1,0,0,0,0,1,0,0,0,0,2551,3,3,2,4,1,3,2,2731.25,2447.5,2018.0,1311.0,1190.0,3
False,0,0,0,1,0,1,0,0,0,0,2131,1,2,3,3,2,2,2,1760.0,1508.0,1383.0,200.0,0,3
False,0,1,0,0,0,1,1,0,0,0,1516,2,2,4,2,2,1,1,1388.3333333333333,790.0,738.0,438.0,248.0,3
False,0,0,0,0,0,0,0,0,0,0,2134,2,4,3,3,2,2,1,2332.0,1885.0,1178.0,1169.0,426.0,2
True,0,1,0,0,0,1,0,0,0,0,2213,1,3,2,4,2,3,2,4233.333333333333,4120.0,2735.0,2497.5,1612.0,2
False,0,0,0,0,0,0,0,0,0,0,2151,2,2,2,2,1,3,1,3197.5,1677.5,1491.0,1392.0,1030.0,1
False,0,0,0,0,0,0,0,0,0,0,1582,3,4,3,1,3,2,1,1487.5,1458.0,1415.0,1062.0,903.0,3
True,1,0,0,1,0,0,0,0,0,0,4597,2,5,2,4,2,3,2,4864.0,4564.0,3305.0,3030.0,2689.0,2
True,1,1,0,0,0,0,0,0,0,0,2050,2,2,2,2,3,2,2,3730.0,3519.0,2446.0,1877.0,1823.0,2
True,0,0,1,0,0,0,0,0,0,1,2631,3,2,2,2,3,2,2,3023.0,2990.0,2610.0,1979.0,1690.0,3
True,0,0,0,1,0,0,0,0,0,0,3330,2,3,1,3,3,2,1,4875.0,3375.0,3170.0,2981.6666666666665,2206.25,2
True,0,1,0,0,0,0,0,0,0,0,2911,3,4,3,2,2,3,2,3975.0,3595.0,3029.0,2845.0,2750.0,2
False,0,0,0,0,0,0,0,0,0,1,2885,2,3,2,2,3,2,2,2763.0,2282.0,2175.0,2031.0,853.0,4
True,0,0,0,1,0,0,0,1,0,1,4480,3,5,2,2,3,2,2,4830.0,4679.0,3840.0,3485.0,2337.5,3
False,1,1,0,0,0,0,0,0,1,0,3258,2,3,2,2,2,2,3,4080.0,3550.0,2294.0,1979.0,1617.0,2
False,0,0,0,0,0,0,0,0,0,0,2583,3,3,3,2,3,3,2,2811.25,2114.0,1864.0,1700.0,1562.5,2
True,0,0,0,0,0,0,0,1,0,0,3410,2,4,2,3,3,2,3,5119.0,3072.0,2870.0,2600.0,2222.5,1
True,0,0,0,0,0,0,0,1,0,0,1614,4,4,3,2,4,2,1,2701.25,1940.0,1873.0,1690.0,1158.3333333333333,3
True,1,0,0,0,0,1,0,1,0,0,1701,2,2,3,2,3,3,2,2328.0,2227.5,2080.0,2011.0,1886.25,2
True,1,0,0,0,0,0,1,0,0,0,2571,2,2,2,3,2,2,2,4059.0,2906.0,2835.0,2108.0,0,3
False,0,0,0,1,0,0,1,0,0,0,3039,3,2,1,3,3,2,1,3255.0,3137.0,2812.5,1962.5,1718.0,3
False,0,0,0,0,0,0,0,0,0,0,2570,3,3,2,2,3,3,2,3115.0,2708.0,2329.0,1575.0,1075.0,3
True,0,0,0,1,0,0,0,0,0,0,2164,3,4,2,3,3,2,3,3704.0,3552.5,3311.25,2385.0,1788.0,3
False,0,1,1,0,0,0,0,0,0,0,1702,2,3,2,3,3,2,2,1617.0,1190.0,947.5,838.0,427.0,2
False,1,0,0,1,0,1,0,0,0,0,1583,2,1,2,3,2,2,1,1163.0,1081.0,669.0,395.0,178.75,2
True,0,0,0,0,0,0,0,0,0,0,1818,3,2,2,2,3,3,2,2992.5,2653.75,2542.0,2375.0,2290.0,2
False,1,0,0,0,0,0,0,0,0,0,3293,2,3,2,2,2,3,1,3270.0,2735.0,2003.0,1930.0,1623.0,2
True,0,1,1,0,0,0,0,1,0,0,3754,3,4,2,1,3,3,2,4403.0,3394.0,3346.0,2884.0,2240.0,3
True,0,0,0,0,1,0,1,0,0,0,518,2,3,2,3,2,3,2,911.6666666666666,628.75,616.6666666666666,478.3333333333333,388.3333333333333,3
True,1,0,0,0,0,1,0,0,0,0,2363,2,2,2,3,1,2,2,3010.0,2914.0,2190.0,2080.0,1428.0,2
False,0,0,0,0,0,1,0,0,0,0,1916,2,2,2,2,3,3,2,1516.6666666666667,1508.3333333333333,1304.0,988.0,657.5,3
False,0,1,0,0,0,0,0,0,0,0,2251,2,3,3,2,2,3,2,2559.0,1843.75,1568.75,1523.0,939.0,2
True,0,1,0,1,0,0,0,0,0,0,3201,2,2,1,3,3,2,2,4318.75,3008.0,2510.0,1950.0,1912.5,2
True,0,0,0,0,0,0,0,1,0,0,2292,4,4,3,3,2,3,2,3475.0,2500.0,2437.5,2260.0,1721.6666666666667,2
False,0,0,0,0,0,0,0,0,0,0,2310,4,3,2,3,2,2,2,2350.0,2227.0,2119.0,1387.0,1245.0,3
True,0,1,0,0,0,0,0,0,0,0,2002,2,1,1,3,4,1,2,3710.0,2450.0,2145.0,2067.5,1472.5,2
True,0,1,0,0,0,0,0,0,0,0,3422,2,2,2,4,2,2,1,4710.0,3855.0,2668.75,2540.0,2400.0,2
False,0,0,1,0,0,0,0,0,0,0,1740,3,2,3,1,3,2,1,2250.0,1762.5,1235.0,1210.0,902.0,2
True,1,0,0,0,0,0,1,0,0,0,1763,2,3,2,4,3,2,2,3774.0,3140.0,1875.0,1117.0,831.0,2
False,0,1,0,1,0,0,0,1,0,0,2094,3,3,3,3,2,3,3,2002.0,1587.5,1542.0,1205.0,0,3
False,0,0,0,0,0,0,0,0,0,0,2488,3,2,3,3,2,2,2,3084.0,2756.25,2331.25,1988.0,1037.5,3
True,0,0,0,0,1,0,1,0,0,0,2356,3,3,2,3,2,3,2,3283.75,2897.0,2605.0,1925.0,1803.75,3
True,1,0,0,0,0,0,0,1,0,0,3450,2,2,3,3,3,2,2,3830.0,2987.5,2280.0,2112.5,1575.0,2
