radiant_win,npc_dota_hero_pudge,npc_dota_hero_phantom_assassin,npc_dota_hero_legion_commander,npc_dota_hero_sniper,npc_dota_hero_slark,npc_dota_hero_juggernaut,npc_dota_hero_invoker,npc_dota_hero_axe,npc_dota_hero_riki,npc_dota_hero_mirana,Duration,TotalGoldSpent,TotalLevel,TotalKills,TotalDeaths,TotalAssists,TotalLast_hits,TotalHero_damage,Totalhero_healing,TotalTower_damage
False,0,0,0,1,0,0,0,0,0,0,2166,50350,80,19,47,43,424,55935,0,579
False,0,0,0,0,0,0,0,0,0,0,1615,32135,57,10,24,22,398,29909,0,4143
False,0,0,0,0,1,0,0,0,0,0,2632,60135,89,35,60,57,475,87856,0,2564
True,0,0,0,0,0,0,0,0,0,0,392,11115,17,12,4,33,37,7271,0,7591
False,0,1,0,0,0,0,0,0,0,0,2893,77050,103,41,39,68,828,101860,859,4680
True,1,0,0,0,0,0,0,0,0,0,3571,113925,102,57,45,47,1239,166542,1303,12463
True,0,0,0,0,0,0,0,0,0,0,3454,118955,121,50,48,78,1315,127031,3500,19632
True,0,0,1,1,0,0,1,0,0,1,1887,80070,92,46,12,37,639,62993,0,16286
True,0,0,0,1,0,0,0,0,1,0,2648,79685,112,56,47,116,689,127461,4210,18104
False,0,0,1,0,0,0,0,1,0,0,2133,52585,76,26,44,24,349,54328,1680,914
True,1,0,0,0,0,0,0,0,0,0,2864,105000,118,53,34,82,995,132023,2767,17853
True,1,0,0,0,0,0,0,0,0,0,3241,123905,120,64,59,123,906,167093,450,12604
False,0,0,0,0,0,1,0,0,0,0,2699,80910,98,33,46,55,807,108971,0,4343
False,1,0,0,0,1,0,0,0,0,0,2437,67485,90,29,28,40,689,61941,0,5914
False,0,0,0,0,0,0,0,0,0,1,3974,115245,125,53,54,126,1454,223737,4867,8976
True,1,0,0,0,0,0,0,0,0,0,2138,53565,56,27,23,26,298,72435,2718,11189
False,0,0,0,0,0,0,0,0,0,0,3120,79825,97,30,51,39,1071,93434,5333,924
False,0,0,0,1,0,0,0,0,0,0,2843,81100,98,34,45,76,753,85992,11785,2165
False,0,0,0,0,0,0,0,0,0,0,2901,81395,100,36,36,54,904,67763,3478,4021
True,0,1,0,0,0,0,0,0,0,1,2354,70985,99,49,39,102,646,96677,9427,13114
