radiant_win,npc_dota_hero_pudge,npc_dota_hero_phantom_assassin,npc_dota_hero_legion_commander,npc_dota_hero_sniper,npc_dota_hero_slark,npc_dota_hero_juggernaut,npc_dota_hero_invoker,npc_dota_hero_axe,npc_dota_hero_riki,npc_dota_hero_mirana,Duration,TotalGoldSpent,TotalLevel,TotalKills,TotalDeaths,TotalAssists,TotalLast_hits,TotalHero_damage,Totalhero_healing,TotalTower_damage
False,0,0,0,0,0,0,0,0,0,0,1888,37525,60,21,39,22,229,47580,552,19
False,0,0,0,0,0,0,0,0,0,0,2524,69110,88,24,56,45,812,88219,3658,4346
True,0,0,0,0,1,0,0,0,0,0,3526,113430,119,41,45,78,1388,118641,7237,18663
True,0,0,0,0,0,1,0,0,0,0,3688,153235,118,69,54,95,1214,175106,4393,12672
False,0,1,0,1,0,0,0,0,0,0,2000,33130,60,16,50,19,299,48955,0,2286
False,0,0,0,0,0,0,0,0,0,0,2742,70140,90,41,54,47,657,97966,466,1348
True,0,0,0,0,0,0,0,0,0,0,2530,90865,106,45,23,98,759,123840,1000,14441
True,1,0,0,0,0,1,0,0,0,0,3016,77430,100,29,31,55,765,89757,6534,10438
True,0,0,0,0,0,0,0,0,0,1,2389,91080,105,48,28,118,683,108104,4614,14803
False,0,0,0,1,0,1,0,0,0,0,2636,68025,80,19,26,15,688,53293,0,1168
False,1,1,0,0,0,1,0,0,0,0,3256,72005,99,33,53,49,787,137470,0,817
False,0,0,0,0,0,0,0,1,0,0,2392,54270,83,31,57,47,494,82820,251,717
True,0,0,0,1,0,0,0,0,0,0,2719,84000,92,24,31,26,1026,99258,3870,18804
True,0,0,0,0,0,0,0,0,0,0,3088,110220,113,39,45,80,870,123692,0,16142
True,1,0,0,0,0,0,0,0,0,0,2937,90100,111,55,31,92,804,115380,11,14848
False,1,0,0,0,0,1,0,0,0,0,2374,50320,86,26,60,56,460,91154,878,367
True,1,0,0,0,0,0,0,1,0,0,1760,68490,87,46,11,64,674,65965,2632,11910
True,0,0,0,0,0,0,0,0,1,0,2278,68010,90,48,26,124,542,81411,3506,13143
True,0,0,0,0,0,0,0,0,0,0,1962,65195,84,36,29,77,427,70721,2872,15403
True,0,0,0,0,0,0,0,0,0,0,2238,79540,92,31,23,36,801,75064,523,11117
True,0,0,0,0,0,0,0,0,0,0,1866,56645,66,20,14,36,370,65362,1786,12823
True,0,0,0,0,0,0,0,0,1,0,2709,83040,98,41,33,50,795,107975,1046,14148
True,0,0,1,0,0,0,0,0,0,0,2535,71520,99,48,39,56,604,85036,7214,13488
True,1,1,0,0,1,0,0,0,0,0,1903,67125,92,52,22,42,437,88166,1023,10794
True,0,0,0,0,0,0,1,0,0,0,2513,78080,103,67,27,134,462,116602,5686,11562
True,0,0,0,0,0,0,0,0,0,0,2162,71805,75,26,17,28,479,53737,0,11448
True,0,0,0,0,0,0,0,0,0,0,2804,96505,111,65,41,119,769,125912,0,11642
False,0,0,0,0,0,0,0,0,0,0,2450,56535,87,36,43,54,559,69291,929,1984
False,1,1,0,1,0,0,0,0,0,0,2550,55240,87,24,40,36,599,100178,32,1241
False,1,0,0,0,0,0,0,0,0,0,1592,32770,48,13,17,3,233,20335,314,483
False,0,0,0,1,0,1,1,0,1,0,2502,50410,83,22,50,28,500,77587,0,1448
True,1,0,0,0,0,0,0,0,0,0,2380,72385,93,42,22,77,582,83857,1950,10367
False,0,0,0,0,0,0,0,0,0,0,2546,55690,90,27,60,44,488,68495,510,2963
