radiant_win,npc_dota_hero_pudge,npc_dota_hero_phantom_assassin,npc_dota_hero_legion_commander,npc_dota_hero_sniper,npc_dota_hero_slark,npc_dota_hero_juggernaut,npc_dota_hero_invoker,npc_dota_hero_axe,npc_dota_hero_riki,npc_dota_hero_mirana,Duration,AboveAverGoldSpent,AboveAverLevel,AboveAverKills,AboveAverDeaths,AboveAverAssists,AboveAverLast_hits,AboveAverHero_damage,AboveAverTower_damage
True,0,0,0,0,0,0,0,0,0,0,1702,2,3,2,2,2,3,2,3
True,0,1,0,0,0,0,0,0,0,0,3302,1,2,2,3,3,2,1,1
False,0,0,0,0,0,0,0,0,0,0,2044,3,3,1,2,3,3,2,2
False,0,0,0,0,0,1,0,0,1,0,3212,3,2,2,2,2,3,2,2
True,1,0,0,0,0,0,0,0,0,0,2258,2,3,2,2,2,3,2,1
True,0,0,0,1,0,0,0,0,0,0,1810,3,2,3,2,3,2,3,3
True,1,0,0,0,0,0,0,0,0,0,2606,2,3,2,3,2,2,1,2
True,1,0,0,1,0,0,0,0,0,0,2833,3,4,2,2,3,1,1,2
True,0,0,0,0,0,1,0,0,0,0,1858,2,3,2,2,3,2,3,1
True,0,0,0,0,0,0,1,0,0,0,3532,3,3,2,3,4,2,3,1
True,0,0,0,0,0,0,1,0,0,0,2570,2,2,2,3,3,2,2,2
True,0,0,0,0,0,0,0,0,1,0,2710,2,2,2,2,2,3,2,2
True,0,0,0,1,0,0,0,0,0,0,3260,3,4,3,2,3,3,3,2
False,0,0,0,0,0,0,0,0,0,0,2494,2,2,1,2,3,3,1,2
False,0,0,0,0,0,0,0,0,0,0,2860,3,2,1,2,3,3,2,1
True,1,1,0,0,0,0,0,0,0,0,2549,3,3,2,4,3,2,2,2
False,0,0,0,0,0,1,1,0,0,0,2955,3,3,2,3,2,2,2,2
True,1,0,0,0,0,0,0,0,0,0,1062,2,2,2,2,2,2,3,2
True,0,1,0,0,0,0,0,1,0,0,1955,3,3,2,3,2,3,2,1
True,0,0,1,0,0,0,0,0,0,0,3266,4,4,3,3,3,3,2,2
False,1,0,0,0,0,0,0,0,0,0,2936,3,2,3,2,3,2,3,2
False,0,0,1,0,0,1,0,0,0,0,3280,3,3,2,2,3,3,2,2
False,0,0,1,0,0,0,0,0,0,0,2536,2,1,3,2,3,1,2,1
False,1,0,0,0,0,0,0,0,0,0,2389,1,2,3,3,2,1,2,1
False,0,0,0,0,0,0,0,1,0,0,1997,2,3,3,2,3,3,2,2
True,1,0,1,0,0,0,0,0,0,0,3644,2,3,3,3,1,2,2,3
False,0,0,1,0,0,0,0,0,0,0,3869,3,4,2,3,3,3,2,1
False,0,0,0,0,0,0,1,0,0,0,839,3,3,3,2,3,3,2,1
False,0,0,0,0,0,0,0,0,0,0,2873,2,4,2,4,2,3,3,2
False,1,0,0,0,0,0,0,0,1,0,3055,3,3,1,3,3,2,1,2
True,0,0,0,0,0,0,0,0,0,0,3268,3,3,2,2,2,2,2,2
False,0,0,0,0,0,0,0,0,1,0,2204,1,3,3,2,2,2,2,2
True,0,0,1,0,0,0,0,1,0,0,2691,3,3,2,2,3,2,3,3
True,0,0,0,0,0,0,0,0,0,0,3518,2,3,3,3,2,2,2,3
True,0,0,0,0,0,1,0,0,0,0,3459,3,3,3,2,2,3,3,3
True,1,1,0,0,0,0,0,0,0,0,2717,2,2,3,2,3,2,1,2
True,0,1,0,0,0,0,0,1,0,0,2966,3,2,2,2,3,3,3,1
True,0,0,0,0,0,1,0,0,0,0,2402,3,3,2,2,3,2,2,2
True,0,0,0,0,0,1,0,0,0,0,3581,1,4,2,3,2,2,1,1
True,0,0,0,0,0,0,0,0,0,0,2459,1,3,2,2,2,3,2,1
False,0,0,0,0,0,0,0,0,0,0,3210,1,2,2,2,2,2,2,3
True,0,0,0,1,0,0,0,1,0,0,2829,3,2,3,3,4,2,3,2
False,0,0,0,1,1,1,0,0,0,0,3093,2,2,3,3,2,3,3,2
True,0,1,0,0,0,0,0,0,0,0,1445,3,3,3,3,4,2,2,2
True,1,1,0,0,0,0,0,0,0,0,2763,3,2,2,3,2,3,2,2
False,0,0,1,0,0,0,0,0,0,0,2249,3,2,3,2,2,2,2,2
False,0,0,0,0,0,0,0,1,0,0,2676,3,2,3,3,3,3,3,2
True,0,0,0,0,0,0,0,0,0,0,1371,3,3,3,2,2,2,2,2
False,0,0,0,0,0,0,0,0,0,0,4117,2,2,3,3,1,2,2,2
True,0,0,0,1,0,0,0,0,0,0,2214,3,3,2,4,3,2,2,2
True,0,1,0,0,0,0,0,0,1,0,1358,2,3,3,3,3,2,3,1
False,0,1,0,1,0,1,0,0,0,0,2392,3,2,4,2,2,2,2,1
False,0,0,0,0,0,0,1,0,0,0,2058,3,2,2,3,2,3,2,1
True,1,0,0,0,1,0,0,1,0,1,3199,3,4,4,2,2,3,2,1
False,0,0,0,1,0,1,0,1,0,0,3149,3,3,2,2,3,3,2,2
False,0,1,0,0,0,0,0,0,0,0,2688,4,4,3,2,3,2,2,2
True,1,1,0,0,0,0,0,0,0,0,2637,1,4,2,3,2,2,2,1
True,0,0,0,0,0,1,0,0,0,0,2842,2,3,3,3,1,2,2,2
False,0,0,1,0,0,0,0,0,0,0,3085,3,3,3,2,2,3,3,2
False,0,1,0,0,0,0,0,0,0,0,2658,2,4,3,1,3,3,3,2
True,0,0,0,0,1,0,0,0,1,0,3272,3,3,1,3,3,3,1,2
True,1,0,0,0,0,0,0,0,0,0,2202,3,3,3,3,3,2,3,1
True,0,0,0,0,1,1,0,0,0,0,1755,3,4,2,2,3,2,2,2
False,1,0,0,0,0,0,0,0,0,0,1833,2,3,2,3,3,3,3,2
True,0,0,0,1,1,0,0,0,0,0,3552,2,3,2,3,3,4,2,2
True,0,1,0,0,0,1,0,1,0,0,2365,3,3,2,2,3,3,2,2
False,0,0,0,0,0,0,1,0,0,0,2551,2,3,3,1,2,2,2,2
False,0,0,0,1,0,0,0,0,1,0,3390,3,3,2,3,3,2,3,2
True,0,1,0,0,0,0,0,0,0,0,2838,3,4,1,2,3,3,2,2
False,1,0,1,0,0,0,0,0,0,0,2849,1,2,3,2,3,2,2,2
False,0,0,0,1,0,0,1,0,0,0,2073,3,3,2,3,2,4,2,1
False,0,1,1,0,0,0,0,1,0,0,2655,3,2,2,3,3,2,3,1
True,0,0,0,1,1,0,0,1,0,0,2163,3,3,2,2,3,3,2,1
False,0,0,0,0,1,0,0,0,1,0,1992,3,2,2,1,2,3,3,2
False,0,1,0,1,0,0,0,0,0,0,1924,3,1,2,2,3,2,2,1
False,0,0,0,0,0,0,0,0,0,0,3950,1,2,2,2,2,2,2,1
True,0,1,0,0,0,1,0,0,0,0,2063,3,3,2,2,3,2,2,1
True,0,1,0,0,0,0,0,1,0,1,2053,3,3,3,2,3,2,2,3
True,0,0,0,0,0,0,0,0,0,0,2447,2,2,2,3,3,2,1,1
False,0,0,0,0,0,1,0,1,0,0,2998,2,2,2,1,3,2,2,1
False,0,0,0,0,0,0,0,0,0,0,4389,3,4,2,2,3,2,1,2
False,0,0,0,1,0,0,0,1,0,0,2553,2,2,2,3,2,2,2,1
True,0,0,1,0,0,1,0,0,0,0,1864,2,3,2,3,2,3,2,1
True,0,0,0,0,0,1,0,1,0,0,2835,2,3,2,2,2,3,2,1
False,0,0,0,0,0,0,0,0,0,0,3921,3,3,2,2,3,3,1,2
True,0,0,0,1,0,0,0,1,0,0,3495,4,4,4,2,3,2,2,2
True,1,0,0,0,0,0,0,0,0,0,2124,2,3,1,3,2,3,3,2
False,0,0,0,0,0,1,0,0,0,0,2385,2,1,2,4,3,2,1,2
True,0,0,1,0,0,0,0,0,0,0,2702,2,2,3,2,2,2,1,2
True,1,0,0,1,0,0,0,0,0,0,3184,2,3,1,2,3,2,1,1
False,0,1,0,0,0,0,0,0,0,0,2297,3,3,1,3,2,3,2,1
False,0,0,0,0,0,0,0,1,0,0,1909,3,2,3,3,3,2,2,1
True,1,0,0,0,0,0,0,0,0,0,1756,2,3,2,2,2,1,3,2
True,0,0,0,0,0,0,0,1,0,0,3080,3,3,1,3,3,3,3,2
False,0,0,0,0,0,0,0,0,0,0,3364,3,4,2,3,2,2,3,2
False,0,0,0,0,0,0,0,0,0,0,935,3,3,3,3,4,2,2,5
True,0,0,0,0,0,0,0,0,1,0,2730,2,3,2,3,3,3,3,2
False,0,0,0,0,0,0,0,0,0,0,3519,1,2,3,2,2,1,3,1
False,0,0,0,0,0,0,1,0,0,0,2731,3,3,3,3,3,3,3,2
False,0,0,0,1,0,0,0,1,0,1,2790,3,4,2,3,3,3,3,2
False,0,0,1,0,0,0,0,0,0,0,3095,2,4,2,4,3,2,2,2
True,0,1,0,0,0,0,0,0,0,0,1668,3,2,3,3,3,2,2,2
True,0,1,1,0,0,0,0,0,0,0,2404,2,3,2,4,2,3,2,3
True,1,1,0,0,0,0,0,0,1,0,2938,2,4,2,2,3,2,3,2
False,0,0,0,0,0,0,0,0,0,0,2658,3,3,3,3,3,3,2,2
True,0,0,0,0,0,0,0,0,0,1,2943,3,3,1,4,3,2,2,2
True,0,0,1,1,0,0,1,0,0,0,1843,2,1,2,3,3,2,1,1
False,0,1,1,0,0,0,0,0,0,0,2578,2,3,3,2,2,3,3,3
True,0,0,0,0,0,1,0,0,0,0,4008,2,4,2,3,4,3,2,2
True,0,0,0,0,1,0,1,0,0,0,2542,3,3,2,2,3,3,2,3
True,0,0,0,0,0,1,0,0,0,0,3994,2,3,2,2,2,2,2,1
False,0,0,0,0,0,1,1,0,0,0,3122,3,4,2,2,3,2,3,2
False,0,0,0,1,0,0,0,0,0,0,4534,3,4,2,3,3,2,3,2
True,0,0,0,0,1,1,0,0,1,0,2206,4,3,2,3,3,3,2,2
False,0,0,0,0,0,0,0,0,0,0,2844,2,2,3,2,2,2,2,2
False,0,0,0,0,0,0,0,0,0,0,2035,3,3,3,2,2,2,2,2
True,0,1,1,0,0,0,0,0,0,1,2766,2,2,2,3,4,2,2,2
True,0,0,1,0,0,0,0,0,0,0,2159,1,2,2,2,3,2,2,2
True,0,0,0,0,0,0,0,1,0,0,2287,2,3,2,2,3,3,2,1
True,0,0,0,0,0,0,0,0,0,0,3486,1,3,3,2,2,3,3,2
True,0,0,0,0,1,0,0,0,0,0,3318,2,4,3,3,2,2,3,2
True,0,1,1,0,0,0,0,0,0,0,2505,2,2,2,3,2,3,1,1
True,0,0,0,0,0,0,0,0,0,0,2011,3,3,2,4,3,2,1,2
True,0,0,0,0,0,0,0,1,0,0,1996,2,2,3,2,3,3,1,2
False,0,0,0,0,0,0,0,0,0,0,2597,2,2,3,3,4,2,2,1
True,0,0,0,0,0,0,0,0,1,0,2629,2,3,2,3,2,2,2,3
False,1,1,0,0,0,0,0,0,0,0,1995,2,2,2,3,2,3,1,2
True,1,0,1,0,0,0,0,0,0,0,1827,2,2,2,4,2,2,2,3
False,0,0,0,1,0,0,0,0,0,0,1798,2,2,2,3,3,2,2,1
False,0,0,0,0,0,0,0,0,0,0,2683,2,3,2,3,2,2,2,1
False,0,0,0,0,0,0,0,0,0,1,3294,3,3,3,3,2,4,4,2
True,0,0,1,0,0,1,0,0,0,0,2978,2,3,3,4,3,3,3,2
True,1,1,1,0,0,0,0,0,0,0,2080,3,2,3,2,2,2,1,3
True,0,0,0,0,0,0,0,0,0,0,3257,2,2,2,4,3,3,2,1
True,1,1,0,0,0,0,0,0,0,0,2377,2,2,2,3,1,2,2,2
True,0,0,0,0,0,0,0,0,0,0,1942,2,3,2,2,2,3,2,2
False,0,0,1,0,0,1,0,0,0,0,2397,3,3,3,2,3,3,4,2
False,0,0,0,0,0,0,1,1,0,0,2805,3,2,2,3,3,2,2,2
True,0,1,0,1,0,0,0,0,0,0,2534,2,3,3,3,2,2,2,1
True,0,0,0,0,1,0,0,1,0,1,2187,2,2,2,3,2,3,2,2
False,0,0,0,0,0,0,0,0,1,0,2166,3,4,2,3,4,2,3,1
False,0,1,0,0,0,0,0,0,0,0,2686,2,2,2,3,2,3,2,2
False,0,0,0,0,0,0,0,0,0,0,2594,2,3,2,3,1,3,3,1
True,0,0,0,0,0,0,1,0,0,0,2080,3,2,2,2,2,3,2,2
True,0,0,0,0,0,0,0,0,1,0,3357,2,2,3,2,2,2,2,3
False,1,0,1,0,0,0,0,0,0,0,2072,3,3,2,2,4,2,2,1
False,0,0,0,0,0,0,0,1,0,1,2734,2,1,2,3,3,2,2,1
False,0,0,0,0,1,0,0,0,0,0,2159,2,2,1,3,2,2,1,3
False,0,0,1,0,0,0,0,1,0,0,2733,2,3,2,2,2,3,1,2
False,0,0,0,0,1,0,0,1,0,0,2233,3,2,2,2,3,3,3,2
True,0,0,1,0,1,0,0,0,0,0,2214,2,3,2,3,2,2,2,3
