radiant_win,npc_dota_hero_pudge,npc_dota_hero_phantom_assassin,npc_dota_hero_legion_commander,npc_dota_hero_sniper,npc_dota_hero_slark,npc_dota_hero_juggernaut,npc_dota_hero_invoker,npc_dota_hero_axe,npc_dota_hero_riki,npc_dota_hero_mirana,Duration,AboveAverGoldSpent,AboveAverLevel,AboveAverKills,AboveAverDeaths,AboveAverLast_hits,AboveAverHero_damage,AboveAverTower_damage
True,0,0,0,0,0,0,0,0,0,0,1702,2,3,2,2,3,2,3
False,0,0,0,0,1,0,0,0,0,0,3836,3,3,3,2,3,2,2
True,0,0,0,1,0,0,0,0,0,0,1542,4,3,2,2,3,2,2
False,1,0,0,1,0,0,0,1,0,0,2774,2,2,3,3,2,3,1
False,0,0,0,1,0,0,0,1,0,0,3557,3,4,3,2,2,2,3
True,0,0,0,0,0,0,0,1,0,0,2838,4,3,4,2,2,2,1
True,0,0,0,0,0,0,0,0,0,0,2607,3,3,2,3,3,1,2
True,0,0,0,0,0,0,0,0,0,0,3052,2,4,4,2,3,2,2
True,0,0,0,0,0,0,1,0,1,0,3108,3,3,1,2,3,1,2
True,1,0,0,0,0,0,0,0,0,0,1914,2,2,2,1,2,3,2
True,0,0,0,0,1,0,0,0,0,0,1737,2,3,2,4,3,2,2
True,0,1,0,0,0,0,0,0,0,0,2816,2,3,3,3,3,2,3
True,0,0,0,0,0,1,0,0,0,0,2791,3,3,4,2,3,3,2
True,1,0,0,0,0,0,0,0,0,0,2340,2,3,2,2,2,3,1
True,0,0,0,1,0,0,0,0,0,0,1810,3,2,3,2,2,3,3
True,1,0,0,0,0,0,0,0,0,0,2606,2,3,2,3,2,1,2
True,0,0,0,0,0,1,0,0,0,0,1858,2,3,2,2,2,3,1
False,0,1,0,0,0,0,0,0,0,0,2096,2,2,2,3,2,3,2
True,0,0,0,0,0,0,0,0,1,0,2710,2,2,2,2,3,2,2
True,0,0,0,1,0,0,0,0,0,0,3260,3,4,3,2,3,3,2
False,0,0,0,0,0,0,0,0,0,0,2168,2,2,3,2,2,2,1
False,1,0,0,0,0,0,1,0,0,0,1349,3,2,3,2,2,4,1
False,0,0,0,0,0,1,1,0,0,0,2955,3,3,2,3,2,2,2
False,0,0,0,0,0,0,0,0,0,0,2186,3,3,2,2,3,1,2
False,0,0,0,0,0,0,0,0,0,0,3017,2,3,3,4,2,2,2
False,1,0,0,0,0,0,0,0,0,0,2936,3,2,3,2,2,3,2
False,0,0,1,0,0,0,0,0,0,1,2516,3,4,3,2,3,3,3
False,0,0,0,0,0,0,0,1,0,1,3478,2,2,2,3,2,2,2
False,0,0,1,0,0,1,0,0,0,0,3280,3,3,2,2,3,2,2
True,0,0,0,0,0,0,0,0,0,1,3448,2,3,2,2,2,4,2
False,0,0,1,0,0,0,1,0,0,0,2716,4,3,1,2,2,3,1
False,0,0,1,0,1,0,0,0,0,0,1497,4,3,4,2,2,2,1
False,0,0,0,0,0,0,0,1,0,0,1997,2,3,3,2,3,2,2
True,0,0,0,0,0,0,0,0,0,0,2026,3,2,2,2,3,2,2
False,0,0,0,0,0,0,0,0,0,1,2837,4,3,1,3,2,2,1
True,0,0,0,0,0,0,0,0,0,0,2610,2,2,1,2,2,2,2
False,0,0,0,0,0,0,0,0,0,0,3095,4,3,2,2,2,3,2
False,0,0,0,1,0,0,0,0,0,0,3273,2,3,3,3,3,3,2
True,0,0,1,0,0,0,0,0,1,0,3106,3,3,2,2,2,3,3
False,0,1,0,0,0,0,1,0,0,0,3718,3,3,2,4,3,2,3
True,1,0,0,0,0,1,0,0,0,0,2064,2,2,1,2,2,3,2
False,1,0,1,0,0,0,0,0,0,0,2682,2,2,2,1,1,3,2
True,1,0,0,0,0,0,0,0,0,0,3063,2,2,3,3,1,2,2
True,0,0,1,0,0,0,0,0,0,0,2671,2,1,3,3,3,2,1
False,0,0,0,0,0,0,0,1,0,0,2370,2,3,2,2,1,2,2
True,0,0,0,0,0,0,0,0,0,0,3268,3,3,2,2,2,2,2
False,0,0,1,0,0,0,1,0,0,0,2807,2,3,3,3,2,2,2
True,0,0,0,1,1,0,0,0,0,0,3042,3,3,2,4,2,2,1
False,0,0,0,0,0,0,0,1,0,0,3219,2,2,2,2,2,2,1
