radiant_win,npc_dota_hero_pudge,npc_dota_hero_phantom_assassin,npc_dota_hero_legion_commander,npc_dota_hero_sniper,npc_dota_hero_slark,npc_dota_hero_juggernaut,npc_dota_hero_invoker,npc_dota_hero_axe,npc_dota_hero_riki,npc_dota_hero_mirana,Duration,AboveAverGoldSpent,AboveAverLevel,AboveAverKills,AboveAverDeaths,AboveAverLast_hits,AboveAverHero_damage,AboveAverTower_damage
True,0,0,0,0,0,0,0,0,0,0,392,3,2,2,3,1,3,3
False,0,0,0,0,0,0,0,0,0,0,2524,2,2,4,3,2,2,2
True,1,0,0,0,0,0,0,0,0,0,3571,3,4,3,3,2,3,1
False,0,0,0,0,0,0,0,0,0,1,3974,2,5,2,3,3,2,3
True,1,0,0,0,0,0,0,0,0,0,2138,2,2,2,2,2,2,2
False,0,0,0,0,0,0,0,0,0,0,2901,3,3,2,2,2,2,2
False,0,0,0,0,0,0,0,0,0,0,2742,2,3,1,3,3,2,1
False,0,1,0,0,1,0,0,0,0,0,1898,2,3,2,3,2,2,1
False,0,0,0,0,0,0,0,1,0,0,2316,3,3,3,2,2,3,1
True,0,0,0,0,0,0,0,0,0,0,3088,3,3,2,3,3,2,1
False,0,0,0,0,0,0,0,0,0,0,2116,1,2,3,2,2,2,2
True,0,0,0,0,0,0,0,0,1,0,3158,2,4,4,2,2,2,1
True,0,0,0,0,0,0,0,0,0,0,1866,2,1,3,3,2,2,2
False,1,0,0,1,0,1,0,0,0,0,3403,3,3,2,3,3,1,3
False,0,0,0,0,0,0,1,0,0,0,1854,2,2,1,2,2,2,1
True,0,0,0,0,0,0,0,0,1,0,2709,4,3,3,4,3,3,3
False,0,0,0,0,0,0,0,0,0,0,4018,3,4,3,3,3,3,1
False,0,0,0,0,0,0,0,0,1,0,3145,2,3,2,3,3,2,2
False,0,0,0,0,0,0,0,0,0,0,2171,2,1,1,3,2,1,3
False,0,0,0,0,0,0,0,1,0,0,1455,2,3,2,2,3,2,1
False,0,0,0,0,0,0,0,0,0,0,3506,2,3,2,2,2,3,2
True,0,0,1,0,0,0,0,0,0,0,2535,3,3,2,3,2,2,2
False,1,1,0,0,0,0,0,0,0,0,1618,2,2,1,2,2,2,1
False,0,0,0,0,1,0,1,0,0,0,2884,2,3,2,2,3,2,2
True,0,0,0,0,0,0,1,0,0,0,2513,1,2,1,3,2,2,1
False,0,1,0,0,0,1,0,0,0,0,2296,2,3,3,1,2,1,2
False,0,0,0,0,0,0,0,0,0,0,2915,3,3,3,2,2,3,1
False,0,0,0,0,0,0,0,0,1,0,3109,2,2,2,1,3,1,1
True,0,1,0,0,0,0,0,0,0,0,2712,4,3,2,2,2,3,2
False,0,0,0,1,0,0,0,0,0,0,3589,2,4,2,3,3,4,2
False,0,0,1,1,0,0,1,0,0,0,2388,2,2,2,2,3,1,2
False,0,0,1,1,0,0,0,0,0,0,2968,2,2,1,3,2,2,2
True,1,0,0,1,1,0,0,0,1,0,2422,1,2,3,3,2,3,1
True,1,1,0,0,0,0,0,0,0,0,2343,3,3,2,2,2,1,2
True,0,0,0,0,0,0,1,1,0,0,2521,3,3,3,2,2,3,2
True,0,0,0,1,0,0,0,0,1,0,2932,3,3,2,3,2,1,1
True,0,0,0,0,0,0,0,1,1,0,2040,2,3,2,2,2,2,3
True,0,1,0,0,0,1,0,0,0,0,1783,3,2,2,3,2,1,2
False,1,1,0,1,0,0,0,0,0,0,2215,3,3,2,2,3,3,2
True,0,0,0,0,0,0,0,0,0,0,3447,2,3,2,2,3,3,3
False,0,0,0,0,0,0,0,0,0,1,2846,2,3,2,2,2,1,2
False,0,1,1,0,0,0,0,0,0,0,1952,2,3,2,2,2,2,2
True,0,0,0,0,1,0,0,0,1,0,2805,2,3,3,3,2,3,3
False,0,0,0,0,0,0,0,0,0,1,2065,3,2,2,3,3,2,1
True,0,0,0,0,0,1,0,0,0,1,1620,2,3,2,3,2,1,1
False,0,0,0,0,1,0,0,0,0,0,1992,3,2,2,2,2,1,2
True,1,1,0,0,0,0,0,0,0,0,2461,3,3,2,1,4,1,1
True,0,0,0,0,1,0,1,1,0,0,1996,3,4,3,3,3,2,2
False,0,1,0,0,1,0,0,0,0,1,2416,2,3,3,4,2,3,2
False,0,0,0,0,1,0,0,0,0,0,1275,2,2,2,2,3,2,2
True,0,0,0,0,0,0,0,0,0,0,3018,3,3,3,1,2,2,2
False,0,0,0,0,0,1,1,0,0,0,2559,2,3,3,2,2,3,2
True,0,0,0,0,0,0,0,0,1,1,2082,3,3,3,3,1,3,1
True,1,0,1,0,1,0,0,0,0,0,2981,4,3,3,4,2,3,2
True,0,0,0,0,1,0,0,0,0,0,2454,2,3,2,2,2,3,2
True,0,0,1,0,0,0,0,0,0,0,1845,3,2,2,3,2,2,2
False,0,0,1,0,1,0,1,0,0,0,3738,3,4,4,2,3,3,2
True,0,1,0,0,0,0,0,0,0,0,2075,3,3,2,3,3,3,1
False,0,1,0,0,1,1,0,0,0,0,1909,2,2,2,2,2,3,2
True,0,1,0,1,0,0,0,0,0,0,3000,3,3,2,4,2,1,3
True,1,0,0,0,0,0,1,0,0,0,1854,2,2,2,3,2,2,2
True,0,0,0,0,1,0,0,0,0,0,2377,3,4,3,2,2,3,2
False,0,0,0,1,1,0,0,0,0,0,3206,2,3,2,2,3,3,2
True,0,0,0,0,0,0,0,0,0,0,2480,4,3,2,2,1,2,1
True,0,0,0,0,0,0,0,1,0,0,3034,3,2,1,3,3,2,2
True,0,0,0,0,0,0,1,0,0,0,2647,2,3,2,4,2,3,3
True,1,0,0,0,0,0,0,0,0,1,2030,1,1,2,2,2,2,1
True,0,1,0,0,0,0,0,1,0,0,2758,2,2,4,3,3,3,1
False,0,0,0,0,0,0,0,0,0,0,2063,2,4,4,3,2,2,2
True,1,0,0,0,0,1,0,0,0,0,2998,2,2,2,2,2,2,2
False,0,0,1,0,1,0,0,0,0,0,2986,2,2,2,3,3,3,2
True,1,0,0,0,0,0,1,0,0,0,1861,3,3,2,2,3,2,2
False,1,0,0,0,0,0,1,0,0,0,1961,3,4,2,3,3,4,2
True,0,0,0,1,0,0,0,0,0,0,3413,2,4,2,3,2,3,3
False,0,0,0,0,0,1,0,0,0,0,1465,3,3,3,2,3,3,2
False,0,0,0,0,0,0,0,0,0,0,0,2,5,5,1,5,5,5
True,0,1,0,0,0,1,1,0,0,0,2352,2,2,1,1,2,1,2
True,0,0,0,1,0,0,1,0,0,0,1285,3,2,3,2,3,2,2
False,0,1,0,0,0,0,0,1,0,0,2667,3,2,2,3,3,3,2
True,0,1,0,0,1,0,0,0,1,0,2896,2,3,3,2,3,2,2
True,1,0,0,0,0,0,0,1,0,0,1980,3,3,2,2,3,3,3
True,0,0,1,0,0,0,0,0,0,0,3352,2,3,2,2,3,3,2
False,0,1,0,0,0,0,0,0,0,0,3187,2,3,2,2,2,2,2
True,0,0,0,1,0,0,0,0,1,0,2216,3,2,3,3,2,3,2
True,1,0,0,0,0,0,1,0,1,1,2913,3,2,3,3,2,3,1
False,0,1,0,0,0,0,0,0,0,0,1490,2,3,2,3,3,1,2
True,0,1,0,0,0,0,0,0,0,0,2915,2,3,1,3,2,3,2
False,0,0,0,1,0,1,0,0,0,0,1793,2,2,2,3,2,2,1
False,0,0,0,0,0,0,0,0,0,0,3413,2,3,1,3,2,2,1
True,0,1,0,0,0,0,0,0,0,0,2262,3,2,3,3,3,2,3
False,0,0,0,0,0,0,0,1,0,0,3303,3,2,3,2,2,2,1
False,0,1,0,0,0,0,0,0,1,0,3008,3,3,4,3,2,3,1
True,0,0,0,0,0,0,0,1,0,0,1085,2,3,3,2,3,3,1
True,0,1,0,0,0,0,0,0,0,0,2107,2,2,1,3,2,1,2
False,1,0,0,0,1,0,0,0,0,0,3632,3,4,3,3,3,3,2
False,0,0,0,1,0,0,1,0,0,0,1757,2,4,2,2,2,1,2
False,0,0,0,0,0,0,0,0,0,0,3063,3,3,2,3,1,2,2
False,0,0,0,0,0,1,1,0,0,0,2330,3,3,3,3,3,3,2
True,0,1,0,0,0,1,0,0,0,0,1805,1,2,3,3,1,2,2
True,0,0,0,0,0,0,0,0,1,0,2495,3,2,2,4,3,2,2
True,0,0,0,0,0,0,0,0,0,0,2928,3,3,2,4,3,2,3
False,0,0,1,0,0,0,0,0,0,0,2049,3,3,2,3,3,3,1
False,0,1,0,0,1,0,0,0,0,0,3032,2,3,1,2,2,3,2
True,1,0,0,0,0,0,0,0,0,0,3319,2,4,2,3,2,2,1
False,0,0,0,0,0,1,0,0,0,0,2258,1,3,2,2,3,2,2
False,0,0,0,0,0,0,0,0,0,0,1311,2,3,1,3,3,3,1
False,0,0,1,0,0,0,1,0,1,0,3488,3,3,2,3,2,2,3
False,0,0,0,0,0,0,0,0,0,0,2901,3,2,1,2,3,1,1
True,0,0,0,0,0,1,0,0,0,0,3491,3,2,3,2,2,3,3
True,0,0,0,0,1,0,0,0,0,0,3307,2,4,2,2,3,3,2
True,0,0,0,0,0,0,1,1,0,0,1825,3,2,1,2,2,1,2
False,0,0,1,0,0,1,0,0,0,1,3831,2,4,2,3,4,1,3
True,0,0,0,0,0,1,0,1,0,0,3509,2,4,3,3,2,3,2
True,0,0,0,0,0,0,0,0,0,1,2264,1,3,3,2,1,3,1
True,0,1,0,0,0,0,0,0,0,0,2135,2,2,1,2,2,2,2
False,0,0,0,0,0,0,1,0,1,0,2238,2,2,4,2,3,3,1
True,0,0,0,0,0,1,0,0,1,0,3099,2,2,2,2,2,2,3
True,0,0,0,0,0,0,1,0,0,1,2661,3,3,2,2,3,2,3
True,0,1,0,0,1,0,0,0,0,0,2949,2,2,2,3,3,2,2
True,1,0,1,0,0,0,0,0,0,0,1980,3,3,4,3,2,2,1
True,0,1,0,1,0,0,0,0,0,0,1895,3,3,3,3,3,3,4
False,0,0,0,0,0,0,0,0,0,0,2659,2,2,2,2,2,2,2
True,0,0,0,0,0,0,0,0,0,0,2954,3,2,1,3,2,1,2
True,1,0,0,1,0,0,0,0,0,1,2176,2,2,2,3,2,2,2
True,0,0,0,0,0,0,0,0,0,1,1473,3,3,2,2,3,2,2
