radiant_win,npc_dota_hero_pudge,npc_dota_hero_phantom_assassin,npc_dota_hero_legion_commander,npc_dota_hero_sniper,npc_dota_hero_slark,npc_dota_hero_juggernaut,npc_dota_hero_invoker,npc_dota_hero_axe,npc_dota_hero_riki,npc_dota_hero_mirana,Duration,AboveAverGoldSpent,AboveAverLevel,AboveAverKills,AboveAverDeaths,AboveAverLast_hits,AboveAverHero_damage,AboveAverTower_damage,Highest1AverageItemCost,Highest2AverageItemCost,Highest3AverageItemCost,Highest4AverageItemCost,Highest5AverageItemCost,AboveAverItemCost
False,0,0,0,0,0,0,0,0,0,0,2342,3,2,2,3,2,3,1,2942.5,2427.5,1962.0,1703.0,1465.0,2
False,0,0,0,1,0,0,0,1,0,0,3484,2,2,3,3,2,2,2,3620.0,3485.0,2875.0,2431.25,2325.0,2
True,0,0,0,0,0,0,0,0,0,0,2707,2,3,1,4,3,1,3,4815.0,2830.0,2510.0,2340.0,1715.0,1
True,1,1,0,0,0,0,0,0,0,0,2394,2,2,2,3,3,1,2,3638.0,3350.0,2465.0,2015.0,1645.0,2
False,0,0,0,0,0,1,0,0,0,0,2675,2,3,2,3,3,2,2,3443.3333333333335,2318.0,2158.0,1914.0,1447.5,2
False,0,0,0,0,1,0,0,0,0,1,1845,2,3,3,4,2,2,1,2633.0,1887.0,0,0,0,2
True,0,1,0,0,1,0,0,0,0,0,2484,3,1,2,2,2,2,3,3457.0,3203.0,3145.0,2306.0,1236.0,3
False,0,0,1,0,0,0,0,0,0,0,2430,1,1,2,2,1,3,2,2718.75,2112.5,1663.0,1439.0,0,3
True,0,0,0,0,1,0,0,0,0,0,2447,3,3,3,3,2,2,4,3895.0,3356.25,3205.0,2237.0,1213.3333333333333,3
False,0,0,0,1,0,1,0,1,0,0,3255,2,2,3,2,3,3,2,3876.0,3339.0,3020.0,2420.0,2087.5,3
True,0,1,0,0,0,0,0,0,1,0,2559,3,3,2,2,3,2,2,3328.0,2748.0,2121.0,1855.0,1470.0,2
True,0,0,0,1,0,0,0,0,0,0,1503,3,2,2,2,3,4,3,2300.0,1841.6666666666667,1791.0,1568.75,1172.0,3
True,0,0,0,0,0,0,0,0,0,0,3461,2,3,3,3,2,2,2,5024.0,3745.0,3700.0,2237.0,858.75,3
True,0,0,0,0,0,0,1,0,0,0,2396,3,3,3,3,3,2,3,3397.0,3238.0,3105.0,2190.0,1780.0,3
True,1,0,0,0,0,1,0,0,0,0,2834,2,2,2,2,2,2,3,4498.75,3598.0,2558.75,2237.5,1187.5,2
True,0,0,0,0,0,0,0,0,1,0,3484,2,4,3,3,3,3,3,3745.0,3516.25,3277.0,3221.0,2453.0,3
False,1,0,0,1,0,1,0,0,0,0,2577,3,4,3,3,3,2,3,3335.0,2267.0,1436.0,1165.0,0,2
False,0,0,0,0,1,0,0,0,0,0,2767,3,1,3,1,3,1,1,3445.0,3335.0,3299.0,2330.0,2195.0,3
True,0,1,0,0,0,0,0,0,0,0,3009,3,3,4,2,2,3,1,4750.0,4315.0,3375.0,2825.0,1030.0,3
False,1,0,1,0,0,1,0,0,0,0,2044,3,3,3,3,3,2,2,2747.0,2525.0,2148.0,1300.0,843.0,3
True,0,0,0,0,0,0,0,1,0,0,2374,3,2,2,4,3,2,3,3410.0,2767.0,2348.75,2138.0,1746.25,2
False,0,0,0,0,0,0,1,0,0,0,2143,3,2,2,2,2,2,2,1842.0,1723.0,1330.0,1310.0,507.0,2
False,0,0,0,0,0,0,0,0,0,0,1957,3,3,1,2,3,2,2,1768.0,1468.0,1402.0,720.0,523.0,3
True,0,0,0,0,0,0,0,0,0,0,2626,2,2,3,3,2,3,2,3330.0,2750.0,2308.3333333333335,2172.0,1795.0,2
True,0,0,0,0,1,0,1,0,1,0,2959,2,3,3,2,3,3,3,3360.0,3258.0,2414.0,2018.75,1445.0,2
False,0,0,1,0,0,0,0,0,0,0,2352,2,2,2,3,1,1,3,4092.0,3458.3333333333335,2065.0,0,0,3
True,0,0,0,0,0,0,0,0,0,0,1552,3,3,2,1,3,3,2,1762.5,1750.0,1441.25,1188.0,647.5,3
False,0,0,0,1,0,0,0,0,0,0,2149,3,2,2,3,3,2,3,2750.0,2640.0,2377.0,1385.0,1356.0,3
True,0,0,0,0,0,0,1,1,0,0,2034,3,3,3,2,1,3,2,2887.5,2487.5,2100.0,1803.0,1639.0,2
True,0,0,0,0,0,0,0,0,0,0,2829,2,2,2,3,2,3,1,3150.0,3102.0,2800.0,1930.0,1736.0,3
True,1,0,0,1,0,0,0,0,0,0,2603,2,1,2,2,3,3,3,3167.5,2990.0,2816.25,2787.0,1363.0,4
False,0,0,1,0,0,1,0,0,0,0,2999,3,4,2,3,3,2,2,3128.0,2925.0,2610.0,2320.0,2060.0,3
False,1,0,0,1,1,0,0,0,0,0,3421,3,3,2,2,2,2,1,3683.3333333333335,2077.0,1662.0,1569.0,675.0,2
False,1,0,0,0,1,0,1,0,0,0,3259,2,2,2,3,2,2,2,3380.0,3075.0,2875.0,2796.0,1954.0,3
False,1,0,0,0,1,0,0,0,0,0,2798,2,2,2,3,3,3,2,3150.0,2943.75,2067.0,1688.0,1681.25,2
True,0,0,0,0,0,0,0,1,0,0,2675,3,4,2,1,3,3,1,3892.0,2693.0,2600.0,2570.0,1894.0,1
False,0,0,0,0,0,0,0,1,1,0,2299,3,3,2,2,3,4,2,2305.0,2225.0,1817.0,1733.75,208.0,4
False,0,0,1,1,0,0,0,0,0,0,2292,3,2,1,3,2,1,3,2262.0,2090.0,1930.0,1790.0,1080.0,3
False,0,0,0,0,0,0,0,1,0,0,3045,3,3,3,3,2,3,2,3154.0,2791.25,2620.0,2575.0,0,4
True,0,1,0,0,0,0,0,0,0,0,2067,3,3,2,2,1,3,2,4290.0,3650.0,2742.0,2350.0,1910.0,2
False,0,0,0,1,0,0,0,0,0,0,1978,3,2,2,3,3,3,2,3002.0,1566.25,1364.0,880.0,0,3
True,0,0,0,0,0,0,0,0,0,0,3694,2,4,2,3,3,2,2,5305.0,3955.0,3080.0,2374.0,0,3
True,0,0,0,0,0,0,0,0,0,1,1590,3,3,3,2,3,2,3,2598.0,2295.0,2262.0,1445.0,1227.0,3
True,0,0,0,0,0,1,0,0,0,0,2343,3,4,2,3,2,2,2,2925.0,2622.5,2473.0,2258.0,1281.25,3
False,0,0,0,0,0,0,0,0,0,0,2976,3,3,2,2,2,3,2,4423.333333333333,3112.0,2125.0,2048.0,1906.25,2
True,0,0,0,0,0,0,0,0,0,0,3945,3,3,2,2,3,3,2,3002.0,2924.0,2889.0,2560.0,2212.5,3
True,1,0,0,0,0,0,0,0,0,0,2092,3,2,3,1,2,3,2,3350.0,3116.6666666666665,2867.5,2542.0,2370.0,3
True,0,0,0,0,0,0,0,0,1,0,2672,2,3,2,3,3,3,1,3974.0,3584.0,3240.0,2449.0,2223.75,3
False,0,0,0,0,0,0,0,0,0,0,2330,3,3,2,3,3,3,1,3531.6666666666665,3385.0,2710.0,1146.25,902.5,3
False,0,0,0,1,0,0,0,1,0,0,2736,2,2,2,3,2,2,2,3188.0,2880.0,2126.25,2093.75,1835.0,2
False,0,0,0,0,0,0,0,0,0,0,2777,2,2,2,4,2,2,3,2815.0,2700.0,2206.0,1051.0,0,3
False,0,0,0,0,0,0,0,0,1,0,3495,2,2,3,3,2,3,2,3315.0,3240.0,2959.0,2911.0,2817.0,2
True,0,1,0,0,0,0,0,0,0,1,2110,3,3,3,3,3,2,2,2560.0,2405.0,2208.0,1486.25,855.0,3
True,0,0,0,0,1,0,1,0,0,0,3935,2,3,3,3,3,2,2,4115.0,3693.75,3565.0,2885.0,1276.0,3
True,1,0,1,0,0,0,0,0,0,0,3204,2,2,2,2,1,2,2,3655.0,3555.0,2894.0,2794.0,2119.0,2
False,1,0,0,0,0,0,0,0,0,1,2022,2,2,2,2,2,2,2,3268.75,2353.0,1201.25,1195.0,960.0,2
False,0,0,0,0,0,0,0,0,0,1,2585,3,3,2,2,3,2,2,3010.0,2427.0,1930.0,1128.75,813.0,3
False,0,1,0,0,0,0,1,0,0,0,3448,2,2,2,1,3,2,1,4511.25,3016.25,2943.75,2208.0,1115.0,3
True,0,0,0,0,1,0,0,0,1,1,2871,2,3,2,2,2,2,2,3092.0,3077.0,2850.0,2255.0,2160.0,3
True,0,0,0,0,0,0,0,0,0,0,2898,2,3,2,2,3,2,2,3961.0,3650.0,3465.0,2603.0,1550.0,3
False,0,0,1,0,1,0,1,0,0,0,2384,3,3,3,2,3,3,2,2730.0,2312.0,1944.0,1641.0,1245.0,2
True,0,0,1,0,0,0,0,0,0,0,1184,2,3,2,2,2,2,2,2108.0,1956.25,1906.25,1761.0,747.0,4
False,0,0,0,0,0,0,1,0,0,0,2534,3,2,2,2,2,2,3,2218.75,2187.0,2065.0,1275.0,627.0,3
True,0,0,0,0,0,0,0,0,0,0,2179,3,2,2,3,3,1,1,4403.75,2611.6666666666665,2236.0,2150.0,1120.0,2
False,0,0,0,0,0,0,0,0,0,0,2112,3,3,3,2,3,4,2,2305.0,2255.0,1696.0,1406.25,1203.0,2
False,0,0,0,1,0,0,0,0,0,0,1505,2,2,2,2,1,2,1,1794.0,1434.0,0,0,0,2
True,0,0,0,0,0,0,0,0,0,0,2975,1,2,1,2,3,2,4,4668.0,3366.6666666666665,3058.0,2070.0,1013.0,3
True,0,0,0,0,1,0,0,0,0,0,2537,1,3,2,3,2,2,3,2924.0,2260.0,1978.75,1833.0,1818.0,2
True,0,1,0,0,0,0,0,1,0,0,2109,2,3,2,1,2,3,3,3143.75,2925.0,2488.0,1529.0,1406.0,3
True,0,0,0,0,0,0,0,0,0,0,2256,2,3,1,3,3,1,2,4140.0,3750.0,2783.3333333333335,2230.0,1965.0,2
True,1,1,0,0,0,0,0,0,0,0,2298,3,2,2,2,2,2,2,4300.0,3043.0,2910.0,2148.0,1315.0,3
False,0,0,0,1,0,0,1,0,0,0,2608,3,3,2,2,2,2,1,3255.0,2010.0,1950.0,0,0,3
